2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
"        Cutting and slicing machine setters, operators, and tenders",'51-9032,Line item,49.0,47.9,0.0,0.0,-1.1,-2.3,3.3,5.3,"45,700",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",'51-9041,Line item,57.3,58.4,0.0,0.0,1.1,2.0,—,5.2,"45,130",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Furnace, kiln, oven, drier, and kettle operators and tenders",'51-9051,Line item,16.5,17.0,0.0,0.0,0.5,3.0,1.5,1.9,"47,010",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Inspectors, testers, sorters, samplers, and weighers",'51-9061,Line item,598.0,598.1,0.4,0.3,0.1,0.0,1.4,69.9,"47,460",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Jewelers and precious stone and metal workers,'51-9071,Line item,35.1,33.2,0.0,0.0,-1.9,-5.5,33.9,4.0,"49,140",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content,
      Dental and ophthalmic laboratory technicians and medical appliance technicians,'51-9080,Summary,66.8,66.0,0.0,0.0,-0.7,-1.1,4.0,7.7,"45,820",—,—,—,—,
        Dental laboratory technicians,'51-9081,Line item,35.2,33.6,0.0,0.0,-1.6,-4.7,4.0,3.9,"48,310",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Medical appliance technicians,'51-9082,Line item,12.0,12.4,0.0,0.0,0.4,3.7,4.0,1.5,"47,060",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Ophthalmic laboratory technicians,'51-9083,Line item,19.6,20.0,0.0,0.0,0.5,2.3,4.0,2.4,"38,420",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Packaging and filling machine operators and tenders,'51-9111,Line item,381.2,398.2,0.2,0.2,17.0,4.5,—,45.3,"40,900",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Painting workers,'51-9120,Summary,174.3,175.6,0.1,0.1,1.3,0.7,3.6,16.7,"47,390",—,—,—,—,
"        Painting, coating, and decorating workers",'51-9123,Line item,8.8,8.9,0.0,0.0,0.1,1.4,3.5,0.8,"40,860",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
"        Coating, painting, and spraying machine setters, operators, and tenders",'51-9124,Line item,165.5,166.7,0.1,0.1,1.2,0.7,3.6,15.8,"47,590",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Semiconductor processing technicians,'51-9141,Line item,31.9,35.4,0.0,0.0,3.5,10.9,—,3.9,"51,180",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Photographic process workers and processing machine operators,'51-9151,Line item,11.2,10.9,0.0,0.0,-0.3,-2.6,39.0,1.5,"40,100",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Computer numerically controlled tool operators and programmers,'51-9160,Summary,205.4,190.0,0.1,0.1,-15.4,-7.5,0.2,16.6,"51,330",—,—,—,—,
        Computer numerically controlled tool operators,'51-9161,Line item,177.1,158.1,0.1,0.1,-19.0,-10.7,0.2,13.5,"49,970",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Computer numerically controlled tool programmers,'51-9162,Line item,28.3,31.9,0.0,0.0,3.6,12.8,—,3.1,"65,670",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content,
      Miscellaneous production workers,'51-9190,Summary,663.9,648.4,0.4,0.4,-15.4,-2.3,2.9,76.0,"40,960",—,—,—,—,
        Adhesive bonding machine operators and tenders,'51-9191,Line item,12.2,12.3,0.0,0.0,0.1,1.0,—,1.3,"45,210",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Cleaning, washing, and metal pickling equipment operators and tenders",'51-9192,Line item,14.6,15.2,0.0,0.0,0.5,3.6,3.7,1.6,"41,460",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Cooling and freezing equipment operators and tenders,'51-9193,Line item,7.1,7.6,0.0,0.0,0.5,7.2,3.7,0.8,"40,160",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Etchers and engravers,'51-9194,Line item,8.6,8.6,0.0,0.0,-0.1,-0.7,3.2,0.9,"40,450",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Molders, shapers, and casters, except metal and plastic",'51-9195,Line item,41.7,44.3,0.0,0.0,2.6,6.2,14.2,5.5,"45,690",High school diploma or equivalent,None,Long-term on-the-job training,—,
"        Paper goods machine setters, operators, and tenders",'51-9196,Line item,97.5,91.4,0.1,0.1,-6.1,-6.3,1.2,8.1,"49,390",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Tire builders,'51-9197,Line item,20.9,21.4,0.0,0.0,0.5,2.3,—,2.5,"55,580",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Helpers--production workers,'51-9198,Line item,168.5,153.5,0.1,0.1,-15.0,-8.9,0.1,23.6,"38,220",High school diploma or equivalent,None,Short-term on-the-job training,—,
"        Production workers, all other",'51-9199,Line item,292.8,294.3,0.2,0.2,1.5,0.5,3.7,31.6,"38,820",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
  Transportation and material moving occupations,'53-0000,Summary,"14,204.6","14,784.4",8.4,8.4,579.9,4.1,4.2,"1,830.0","42,740",—,—,—,—,
    Supervisors of transportation and material moving workers,'53-1000,Summary,619.9,643.0,0.4,0.4,23.1,3.7,0.8,62.4,"61,900",—,—,—,—,
      Aircraft cargo handling supervisors,'53-1041,Line item,10.3,10.8,0.0,0.0,0.5,5.2,0.8,1.1,"63,940",High school diploma or equivalent,Less than 5 years,None,—,
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",'53-1047,Line item,609.6,632.2,0.4,0.4,22.5,3.7,0.8,61.3,"61,890",High school diploma or equivalent,Less than 5 years,None,—,
    Air transportation workers,'53-2000,Summary,327.3,347.0,0.2,0.2,19.8,6.0,0.6,41.8,"106,500",—,—,—,—,
      Aircraft pilots and flight engineers,'53-2010,Summary,155.4,162.2,0.1,0.1,6.7,4.3,1.3,18.2,"198,100",—,—,—,—,
"        Airline pilots, copilots, and flight engineers",'53-2011,Line item,100.0,103.9,0.1,0.1,3.9,3.9,—,11.7,"226,600",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content,
        Commercial pilots,'53-2012,Line item,55.4,58.3,0.0,0.0,2.8,5.1,3.7,6.6,"122,670",Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content,
      Air traffic controllers and airfield operations specialists,'53-2020,Summary,41.0,42.0,0.0,0.0,1.0,2.5,—,3.8,"98,920",—,—,—,—,
        Air traffic controllers,'53-2021,Line item,24.1,24.4,0.0,0.0,0.3,1.2,—,2.2,"144,580",Associate's degree,None,Long-term on-the-job training,OOH Content,
        Airfield operations specialists,'53-2022,Line item,16.9,17.6,0.0,0.0,0.7,4.2,—,1.6,"56,750",High school diploma or equivalent,None,Long-term on-the-job training,—,
      Flight attendants,'53-2031,Line item,130.8,142.9,0.1,0.1,12.1,9.2,—,19.8,"67,130",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
    Motor vehicle operators,'53-3000,Summary,"4,852.0","5,111.1",2.9,2.9,259.1,5.3,10.0,562.2,"48,660",—,—,—,—,
"      Ambulance drivers and attendants, except emergency medical technicians",'53-3011,Line item,12.3,12.1,0.0,0.0,-0.2,-1.3,—,1.4,"34,330",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Driver/sales workers and truck drivers,'53-3030,Summary,"3,766.5","3,974.4",2.2,2.3,208.0,5.5,6.9,409.1,"49,550",—,—,—,—,
        Driver/sales workers,'53-3031,Line item,451.5,491.3,0.3,0.3,39.8,8.8,6.9,51.3,"37,130",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
        Heavy and tractor-trailer truck drivers,'53-3032,Line item,"2,235.1","2,324.4",1.3,1.3,89.3,4.0,6.9,237.6,"57,440",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content,
        Light truck drivers,'53-3033,Line item,"1,079.8","1,158.6",0.6,0.7,78.9,7.3,6.8,120.2,"44,140",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
      Passenger vehicle drivers,'53-3050,Summary,994.0,"1,040.6",0.6,0.6,46.6,4.7,20.0,140.6,"45,530",—,—,—,—,
"        Bus drivers, school",'53-3051,Line item,387.3,388.2,0.2,0.2,0.9,0.2,0.4,61.0,"47,040",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"        Bus drivers, transit and intercity",'53-3052,Line item,158.8,165.6,0.1,0.1,6.8,4.3,1.8,20.9,"57,440",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Shuttle drivers and chauffeurs,'53-3053,Line item,243.9,260.3,0.1,0.1,16.4,6.7,3.1,36.3,"36,670",No formal educational credential,None,Short-term on-the-job training,OOH Content,
        Taxi drivers,'53-3054,Line item,204.0,226.6,0.1,0.1,22.6,11.1,91.5,22.6,"36,220",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Motor vehicle operators, all other",'53-3099,Line item,79.3,84.0,0.0,0.0,4.7,6.0,34.8,11.1,"36,260",No formal educational credential,None,Short-term on-the-job training,—,
    Rail transportation workers,'53-4000,Summary,89.1,90.2,0.1,0.1,1.1,1.2,—,7.7,"75,990",—,—,—,—,
      Locomotive engineers and operators,'53-4010,Summary,30.1,30.3,0.0,0.0,0.2,0.7,—,2.5,"77,400",—,—,—,—,
        Locomotive engineers,'53-4011,Line item,27.0,27.2,0.0,0.0,0.2,0.7,—,2.2,"77,400",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
"        Rail yard engineers, dinkey operators, and hostlers",'53-4013,Line item,3.1,3.1,0.0,0.0,0.0,0.3,—,0.2,"58,030",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Railroad brake, signal, and switch operators and locomotive firers",'53-4022,Line item,11.0,11.1,0.0,0.0,0.1,1.0,—,1.0,"65,480",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Railroad conductors and yardmasters,'53-4031,Line item,36.8,37.2,0.0,0.0,0.4,1.1,—,3.1,"74,080",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Subway and streetcar operators,'53-4041,Line item,9.6,9.9,0.0,0.0,0.3,3.4,—,0.9,"84,830",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"      Rail transportation workers, all other",'53-4099,Line item,1.6,1.6,0.0,0.0,0.1,3.9,—,0.2,"49,330",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
    Water transportation workers,'53-5000,Summary,84.3,85.4,0.0,0.0,1.1,1.3,3.6,9.5,"66,490",—,—,—,—,
      Sailors and marine oilers,'53-5011,Line item,32.1,32.8,0.0,0.0,0.7,2.3,—,3.9,"49,610",No formal educational credential,None,Moderate-term on-the-job training,OOH Content,
      Ship and boat captains and operators,'53-5020,Summary,43.5,43.7,0.0,0.0,0.2,0.5,7.1,4.6,"82,400",—,—,—,—,
"        Captains, mates, and pilots of water vessels",'53-5021,Line item,40.7,40.9,0.0,0.0,0.2,0.5,7.1,4.3,"85,540",Postsecondary nondegree award,Less than 5 years,None,OOH Content,
        Motorboat operators,'53-5022,Line item,2.7,2.8,0.0,0.0,0.0,1.4,6.5,0.3,"51,880",Postsecondary nondegree award,Less than 5 years,None,OOH Content,
      Ship engineers,'53-5031,Line item,8.8,9.0,0.0,0.0,0.1,1.6,—,1.1,"101,320",Postsecondary nondegree award,Less than 5 years,None,OOH Content,
    Other transportation workers,'53-6000,Summary,337.4,344.1,0.2,0.2,6.7,2.0,0.9,46.2,"36,060",—,—,—,—,
      Bridge and lock tenders,'53-6011,Line item,2.9,2.8,0.0,0.0,-0.1,-3.3,—,0.3,"58,490",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Parking attendants,'53-6021,Line item,135.7,139.8,0.1,0.1,4.0,3.0,—,18.5,"34,600",No formal educational credential,None,Short-term on-the-job training,—,
      Transportation service attendants,'53-6030,Summary,128.1,128.5,0.1,0.1,0.4,0.3,0.8,18.8,"36,000",—,—,—,—,
        Automotive and watercraft service attendants,'53-6031,Line item,100.0,99.0,0.1,0.1,-1.0,-1.0,0.8,14.4,"34,850",No formal educational credential,None,Short-term on-the-job training,—,
        Aircraft service attendants,'53-6032,Line item,28.0,29.5,0.0,0.0,1.4,5.1,0.8,4.3,"41,540",High school diploma or equivalent,None,Short-term on-the-job training,—,
      Traffic technicians,'53-6041,Line item,7.9,8.2,0.0,0.0,0.3,3.7,1.1,0.8,"58,480",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Transportation inspectors,'53-6051,Line item,25.7,26.1,0.0,0.0,0.4,1.7,6.3,2.5,"85,750",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
      Passenger attendants,'53-6061,Line item,25.6,26.8,0.0,0.0,1.2,4.7,—,4.1,"37,560",High school diploma or equivalent,None,Short-term on-the-job training,—,
"      Transportation workers, all other",'53-6099,Line item,11.5,11.9,0.0,0.0,0.4,3.8,2.9,1.2,"39,630",High school diploma or equivalent,None,Short-term on-the-job training,—,
    Material moving workers,'53-7000,Summary,"7,894.6","8,163.5",4.6,4.7,268.9,3.4,1.2,"1,100.1","38,340",—,—,—,—,
      Conveyor operators and tenders,'53-7011,Line item,29.1,28.1,0.0,0.0,-1.0,-3.4,8.9,2.6,"41,230",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Crane and tower operators,'53-7021,Line item,42.3,43.5,0.0,0.0,1.3,3.0,—,3.8,"66,370",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,OOH Content,
      Dredge operators,'53-7031,Line item,1.1,1.2,0.0,0.0,0.0,1.2,8.0,0.1,"48,430",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Hoist and winch operators,'53-7041,Line item,2.7,2.7,0.0,0.0,0.0,-1.1,7.8,0.3,"52,310",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Industrial truck and tractor operators,'53-7051,Line item,792.5,801.6,0.5,0.5,9.1,1.1,0.4,76.4,"46,390",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Laborers and material movers,'53-7060,Summary,"6,802.1","7,059.2",4.0,4.0,257.1,3.8,1.2,991.4,"37,590",—,—,—,—,
        Cleaners of vehicles and equipment,'53-7061,Line item,410.1,426.2,0.2,0.2,16.0,3.9,7.4,56.2,"35,270",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Laborers and freight, stock, and material movers, hand",'53-7062,Line item,"2,988.9","3,033.1",1.8,1.7,44.3,1.5,1.3,384.3,"38,940",No formal educational credential,None,Short-term on-the-job training,OOH Content,
        Machine feeders and offbearers,'53-7063,Line item,46.5,40.4,0.0,0.0,-6.0,-13.0,0.9,4.7,"39,700",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"        Packers and packagers, hand",'53-7064,Line item,591.8,559.7,0.3,0.3,-32.2,-5.4,0.7,74.0,"35,580",No formal educational credential,None,Short-term on-the-job training,OOH Content,
        Stockers and order fillers,'53-7065,Line item,"2,764.8","2,999.8",1.6,1.7,235.0,8.5,0.2,472.3,"37,090",No formal educational credential,None,Short-term on-the-job training,OOH Content,
      Pumping station operators,'53-7070,Summary,37.3,36.7,0.0,0.0,-0.6,-1.7,3.6,4.1,"63,940",—,—,—,—,
        Gas compressor and gas pumping station operators,'53-7071,Line item,5.4,5.3,0.0,0.0,-0.1,-1.3,3.6,0.6,"71,510",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
"        Pump operators, except wellhead pumpers",'53-7072,Line item,13.1,13.5,0.0,0.0,0.3,2.6,3.6,1.5,"60,020",High school diploma or equivalent,None,Moderate-term on-the-job training,—,
        Wellhead pumpers,'53-7073,Line item,18.8,17.9,0.0,0.0,-0.9,-4.7,3.6,2.0,"70,010",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—,
      Refuse and recyclable material collectors,'53-7081,Line item,147.9,149.2,0.1,0.1,1.3,0.9,3.7,16.9,"48,350",No formal educational credential,None,Short-term on-the-job training,OOH Content,
"      Tank car, truck, and ship loaders",'53-7121,Line item,12.0,12.5,0.0,0.0,0.5,4.3,6.6,1.3,"58,070",No formal educational credential,None,Short-term on-the-job training,—,
"      Material moving workers, all other",'53-7199,Line item,27.7,28.9,0.0,0.0,1.2,4.3,6.1,3.1,"41,690",No formal educational credential,None,Short-term on-the-job training,—,
Footnotes:,',,,,,,,,,,,,,,,
"[1] Data are from the Occupational Employment and Wage Statistics program, U.S. Bureau of Labor Statistics. Wage data cover non-farm wage and salary workers and do not cover the self-employed, owners and partners in unincorporated firms, or household workers.",',,,,,,,,,,,,,,,
"Note: Data is unavailable for values denoted with a ""—"".",',,,,,,,,,,,,,,,
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",',,,,,,,,,,,,,,,
